rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.10940208,1
1,20250417_123456_Cam4_00152,0.10762829,0
2,20251112_191827_Cam4_00028,0.10738502,1
3,20251112_191827_Cam4_00095,0.10262895,1
4,20250417_123456_Cam4_00140,0.09911897,1
5,20251210_185619_Cam4_00022,0.09154735,1
6,20250417_123456_Cam4_00162,0.08797896,1
7,20251112_191827_Cam4_00034,0.08368284,0
8,20251112_191827_Cam4_00011,0.07715695,1
9,20251112_191827_Cam4_00054,0.07701884,1
10,20251210_185619_Cam4_00024,0.06842639,1
11,20251112_191827_Cam4_00088,0.06230366,1
