rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.10264553,1
1,20251112_191827_Cam5_00018,0.08780033,1
2,20251112_191827_Cam5_00095,0.06442225,1
3,20251112_191827_Cam5_00015,0.06245044,1
4,20251112_191827_Cam5_00006,0.05618146,0
5,20251112_191827_Cam5_00007,0.04697155,1
6,20251112_191827_Cam5_00033,0.04518503,0
7,20251112_191827_Cam5_00046,0.03095991,0
8,20251112_191827_Cam5_00022,0.02695568,0
9,20251112_191827_Cam5_00123,0.02543123,1
10,20251112_191827_Cam5_00036,0.02427481,0
11,20251112_191827_Cam5_00067,0.02425600,1
12,20251112_191827_Cam5_00012,0.02372689,0
13,20251112_191827_Cam5_00040,0.02329776,0
