rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.04521478,1
1,20251112_191827_Cam1_00015,0.04056573,1
2,20251112_191827_Cam1_00095,0.04005274,1
3,20251210_185619_Cam1_00017,0.03161961,1
4,20251210_185619_Cam1_00040,0.02256523,1
5,20251210_185619_Cam1_00036,0.02203541,1
6,20251210_185619_Cam1_00010,0.02184196,0
7,20251210_185619_Cam1_00025,0.02041044,0
8,20250417_123456_Cam1_00147,0.01954738,1
9,20250417_123456_Cam1_00148,0.01922341,1
10,20251210_185619_Cam1_00038,0.01921895,0
11,20251210_185619_Cam1_00021,0.01894093,0
12,20251210_185619_Cam1_00015,0.01825118,0
13,20251210_185619_Cam1_00013,0.01804055,0
14,20251210_185619_Cam1_00020,0.01800644,0
15,20251210_185619_Cam1_00007,0.01747330,1
16,20251210_185619_Cam1_00044,0.01688738,1
17,20251210_185619_Cam1_00018,0.01668488,0
18,20251210_185619_Cam1_00045,0.01658180,0
19,20251210_185619_Cam1_00048,0.01650546,0
20,20250417_123456_Cam1_00162,0.01607275,1
