rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.03987400,1
1,20250417_123456_Cam4_00134,0.00913360,0
2,20251112_191827_Cam4_00028,0.00878324,1
3,20251210_185619_Cam4_00024,0.00791891,1
4,20251112_191827_Cam4_00095,0.00787361,1
5,20250417_123456_Cam4_00152,0.00722915,0
6,20251112_191827_Cam4_00054,0.00649942,1
7,20251210_185619_Cam4_00022,0.00600802,1
8,20250417_123456_Cam4_00162,0.00546109,1
9,20250417_123456_Cam4_00079,0.00543983,0
10,20250417_123456_Cam4_00140,0.00530814,1
11,20251112_191827_Cam4_00066,0.00434554,0
12,20251112_191827_Cam4_00034,0.00424876,0
13,20251112_191827_Cam4_00011,0.00400720,1
14,20251112_191827_Cam4_00063,0.00376559,0
15,20251210_185619_Cam4_00034,0.00374721,0
16,20251112_191827_Cam4_00088,0.00369171,1
17,20251210_185619_Cam4_00046,0.00359368,0
