rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.13992050,0
1,20250417_123456_Cam4_00134,0.12830487,0
2,20250417_123456_Cam4_00152,0.11994605,0
3,20251112_191827_Cam4_00028,0.11895540,1
4,20250417_123456_Cam4_00140,0.11578974,1
5,20251112_191827_Cam4_00095,0.11485814,1
6,20251210_185619_Cam4_00034,0.11249419,0
7,20251112_191827_Cam4_00015,0.11113286,1
8,20251210_185619_Cam4_00022,0.10754550,1
9,20251112_191827_Cam4_00034,0.09881932,0
10,20251112_191827_Cam4_00066,0.09507371,0
11,20251112_191827_Cam4_00011,0.09248763,1
12,20251112_191827_Cam4_00054,0.09084146,1
13,20251112_191827_Cam4_00063,0.09019379,0
14,20250417_123456_Cam4_00162,0.08547779,1
15,20251210_185619_Cam4_00024,0.08285753,1
16,20251210_185619_Cam4_00046,0.08162769,0
17,20251112_191827_Cam4_00088,0.07808595,1
