rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.14023276,0
1,20250417_123456_Cam4_00134,0.12884347,0
2,20250417_123456_Cam4_00152,0.12044033,0
3,20251112_191827_Cam4_00028,0.11938551,1
4,20250417_123456_Cam4_00140,0.11648886,1
5,20251112_191827_Cam4_00095,0.11509708,1
6,20251210_185619_Cam4_00034,0.11298153,0
7,20251112_191827_Cam4_00015,0.11264011,1
8,20251210_185619_Cam4_00022,0.10790805,1
9,20251112_191827_Cam4_00034,0.09920157,0
10,20251112_191827_Cam4_00066,0.09596155,0
11,20251112_191827_Cam4_00011,0.09309312,1
12,20251112_191827_Cam4_00063,0.09191859,0
13,20251112_191827_Cam4_00054,0.09124073,1
14,20250417_123456_Cam4_00162,0.08624813,1
15,20251210_185619_Cam4_00024,0.08342015,1
16,20251210_185619_Cam4_00046,0.08210069,0
17,20251112_191827_Cam4_00088,0.07840347,1
