rank,frame_id,score,label
0,20250417_123456_Cam4_00152,0.11167919,0
1,20251112_191827_Cam4_00015,0.04862136,1
2,20251112_191827_Cam4_00095,0.04021703,1
3,20251112_191827_Cam4_00028,0.02760692,1
4,20251210_185619_Cam4_00024,0.01268301,1
5,20251112_191827_Cam4_00054,0.01220549,1
6,20251112_191827_Cam4_00011,0.01130191,1
7,20251112_191827_Cam4_00034,0.00993137,0
8,20251112_191827_Cam4_00088,0.00962980,1
9,20250417_123456_Cam4_00140,0.00927129,1
10,20250417_123456_Cam4_00162,0.00849077,1
11,20251210_185619_Cam4_00022,0.00774573,1
