rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.09621484,1
1,20251112_191827_Cam5_00018,0.07506631,1
2,20251112_191827_Cam5_00095,0.06919985,1
3,20251112_191827_Cam5_00015,0.05488298,1
4,20251112_191827_Cam5_00006,0.05068310,0
5,20251112_191827_Cam5_00007,0.05003262,1
6,20251112_191827_Cam5_00033,0.04506282,0
7,20251112_191827_Cam5_00046,0.02951415,0
8,20251112_191827_Cam5_00022,0.02781015,0
9,20251112_191827_Cam5_00036,0.02528709,0
10,20251112_191827_Cam5_00067,0.02520227,1
11,20251112_191827_Cam5_00012,0.02473805,0
12,20251112_191827_Cam5_00123,0.02414319,1
13,20251112_191827_Cam5_00040,0.02384786,0
