rank,frame_id,score,label
0,20251112_191827_Cam5_00018,0.01529015,1
1,20251112_191827_Cam5_00028,0.01417446,1
2,20251112_191827_Cam5_00095,0.01266999,1
3,20251112_191827_Cam5_00067,0.00772290,1
4,20251112_191827_Cam5_00040,0.00709786,0
5,20251112_191827_Cam5_00046,0.00687294,0
6,20251112_191827_Cam5_00012,0.00666025,0
7,20251112_191827_Cam5_00006,0.00665954,0
8,20251112_191827_Cam5_00033,0.00657973,0
9,20251112_191827_Cam5_00015,0.00646430,1
10,20251112_191827_Cam5_00007,0.00645468,1
11,20251112_191827_Cam5_00123,0.00596080,1
12,20251112_191827_Cam5_00022,0.00388018,0
13,20251112_191827_Cam5_00036,0.00350438,0
