rank,frame_id,score,label
0,20251112_191827_Cam5_00018,0.01543994,1
1,20251112_191827_Cam5_00028,0.01457597,1
2,20251112_191827_Cam5_00095,0.01254300,1
3,20251112_191827_Cam5_00067,0.00770414,1
4,20251112_191827_Cam5_00040,0.00703944,0
5,20251112_191827_Cam5_00046,0.00677343,0
6,20251112_191827_Cam5_00006,0.00664899,0
7,20251112_191827_Cam5_00015,0.00647109,1
8,20251112_191827_Cam5_00033,0.00645152,0
9,20251112_191827_Cam5_00007,0.00636863,1
10,20251112_191827_Cam5_00123,0.00597911,1
11,20251112_191827_Cam5_00012,0.00564969,0
12,20251112_191827_Cam5_00022,0.00371356,0
13,20251112_191827_Cam5_00036,0.00355966,0
